STATION,STATION_NAME,DATE,HPCP
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000517 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000517 14:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000517 15:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000517 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000521 18:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000521 19:00,4.32
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000521 20:00,2.29
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000521 21:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 09:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 10:00,2.79
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 11:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 12:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 13:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 14:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 15:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000523 16:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000525 16:00,4.06
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000525 17:00,10.16
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000525 18:00,12.95
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000525 19:00,10.67
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000528 08:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000528 09:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000528 10:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000528 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000601 01:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000604 10:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000604 11:00,0.00
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000605 08:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000605 09:00,0.51
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000605 10:00,1.02
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000605 11:00,0.25
COOP:090435,ATHENS BEN EPPS AIRPORT GA US,20000605 14:00,0.51
